Day,Avg_temp
11/12/2020,58.70
11/13/2020,49.80
11/14/2020,49.80
11/15/2020,54.40
11/16/2020,52.20
11/17/2020,46.20
11/18/2020,35.70
11/19/2020,42.00
11/20/2020,54.90
11/21/2020,58.00
11/22/2020,51.20
11/23/2020,54.20
11/24/2020,46.70
11/25/2020,51.50
11/26/2020,60.40
11/27/2020,57.70
11/28/2020,52.00
11/29/2020,49.80
11/30/2020,59.60
12/1/2020,51.10
12/2/2020,41.80
12/3/2020,45.40
12/4/2020,49.10
12/5/2020,45.10
12/6/2020,39.30
12/7/2020,37.30
12/8/2020,34.60
12/9/2020,36.80
12/10/2020,45.10
12/11/2020,48.20
